ItemNumber,Type,PrimaryRegion,Side,Name,OtherRegions,l_tmj_tension,r_tmj_tension,l_jaw_position,r_jaw_position,l_head_weight,r_head_weight,head_tilt_sagittal,l_ear_shoulder,r_ear_shoulder,l_neck_tilt,r_neck_tilt,l_neck_rotation,r_neck_rotation,neck_forward,l_shoulder_height,r_shoulder_height,l_shoulder_forward,r_shoulder_forward,l_scapula_position,r_scapula_position,l_scapula_winging,r_scapula_winging,l_pec_tension,r_pec_tension,l_ribcage_position,r_ribcage_position,l_breathing_pattern,r_breathing_pattern,l_thoracic_rotation,r_thoracic_rotation,l_thoracic_tension,r_thoracic_tension,l_thoracic_flexibility,r_thoracic_flexibility,thoracic_curve,l_lumbar_tension,r_lumbar_tension,l_lumbar_rotation,r_lumbar_rotation,l_lumbar_sidebend,r_lumbar_sidebend,lumbar_curve,l_upper_abs,r_upper_abs,l_lower_abs,r_lower_abs,l_obliques,r_obliques,l_si_joint,r_si_joint,l_psis_height,r_psis_height,l_asis_height,r_asis_height,l_hip_rotation,r_hip_rotation,l_hip_height,r_hip_height,l_hip_shift,r_hip_shift,l_glute_tone,r_glute_tone,l_hip_flexor,r_hip_flexor,l_knee_alignment,r_knee_alignment,l_knee_rotation,r_knee_rotation,l_patella_tracking,r_patella_tracking,l_knee_hyperext,r_knee_hyperext,l_q_angle,r_q_angle,l_ankle_position,r_ankle_position,l_arch_height,r_arch_height,l_foot_rotation,r_foot_rotation,l_toe_position,r_toe_position,l_heel_callus,l_heel_callus_pos,r_heel_callus,r_heel_callus_pos,l_forefoot_callus,l_forefoot_callus_pos,r_forefoot_callus,r_forefoot_callus_pos,l_heel_pressure,r_heel_pressure,l_forefoot_pressure,r_forefoot_pressure,l_lateral_pressure,r_lateral_pressure,l_medial_pressure,r_medial_pressure,l_single_leg,r_single_leg,l_weight_shift,r_weight_shift,l_arm_raising,r_arm_raising,squat_symmetry,gait_symmetry,,l_upper_pain,r_upper_pain,l_lower_pain,r_lower_pain
131,MUSCLE,Lumbar & Lower Back Region,Right,Longissimus Lumborum,[Thoracic Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.8,,,,-0.4,,-0.5,,0.4,,0.4,,0.3,-0.05,-0.1,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7
132,MUSCLE,Lumbar & Lower Back Region,Left,Multifidus (Lumbar),[Thoracic Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,-0.8,,,,-0.4,-0.5,0.35,,0.35,,0.25,,-0.15,-0.05,-0.25,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.2,0.2,,,,-0.7,       
133,MUSCLE,Lumbar & Lower Back Region,Right,Multifidus (Lumbar),[Thoracic Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,-0.8,,,,-0.4,,-0.5,,0.35,,0.35,,0.25,-0.05,-0.15,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.2,-0.2,,,,,-0.7
134,MUSCLE,Lumbar & Lower Back Region,Left,Quadratus Lumborum,[Thoracic Region : Pelvic Girdle & Hip Region : Abdominal & Core Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,-0.8,,,,-0.4,-0.5,-0.3,,,-0.3,,-0.2,-0.15,-0.1,-0.2,,,-0.15,,,,-0.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.3,,,,0.2,0.2,,,,-0.7,     
135,MUSCLE,Lumbar & Lower Back Region,Right,Quadratus Lumborum,[Thoracic Region : Pelvic Girdle & Hip Region : Abdominal & Core Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.8,,,,-0.4,,-0.5,,,-0.3,,,-0.2,-0.1,-0.15,,-0.2,,,,,,,-0.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.3,,,-0.2,-0.2,,,,,-0.7
136,MUSCLE,Lumbar & Lower Back Region,Left,Psoas Major,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,-0.8,,,,-0.4,-0.5,-0.4,,,-0.4,,-0.3,-0.3,,-0.5,,,-0.4,,,,,,,,-0.4,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,       
137,MUSCLE,Lumbar & Lower Back Region,Right,Psoas Major,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.8,,,,-0.4,,-0.5,,,-0.4,,,-0.3,,-0.3,,-0.5,,-0.4,,,,,,,,,-0.4,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7
138,MUSCLE,Lumbar & Lower Back Region,Left,Psoas Minor,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,-0.4,-0.5,-0.2,,,-0.2,,-0.15,-0.6,-0.15,-0.1,,,-0.5,,,,,,,,-0.3,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,    
139,MUSCLE,Lumbar & Lower Back Region,Right,Psoas Minor,[Thoracic Region : Abdominal & Core Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,-0.15,-0.15,-0.6,,-0.1,,,,,,,,,,,-0.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7
140,FASCIA,Lumbar & Lower Back Region,Left,Thoracolumbar Fascia,[Thoracic Region : Abdominal & Core Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.1,-0.05,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
141,FASCIA,Lumbar & Lower Back Region,Right,Thoracolumbar Fascia,[Thoracic Region : Abdominal & Core Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.5,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
142,FASCIA,Lumbar & Lower Back Region,Left,Lumbar Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
143,FASCIA,Lumbar & Lower Back Region,Right,Lumbar Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
144,FASCIA,Lumbar & Lower Back Region,Left,Iliolumbar Ligaments,[Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
145,FASCIA,Lumbar & Lower Back Region,Right,Iliolumbar Ligaments,[Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
146,MUSCLE,Pelvic Girdle & Hip Region,Left,Iliacus,[Abdominal & Core Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,-0.3,,,-0.3,,-0.25,,,,,,,,,,,,,,-0.4,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,         
147,MUSCLE,Pelvic Girdle & Hip Region,Right,Iliacus,[Abdominal & Core Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,-0.3,,,-0.25,,,,,,,,,,,,,,-0.4,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7
148,MUSCLE,Pelvic Girdle & Hip Region,Left,Rectus Femoris,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,-0.25,,,-0.3,,-0.2,-0.55,-0.15,-0.1,,,-0.5,,,,,,,,-0.35,,-0.7,-0.6,,-0.3,,-0.3,,-0.3,,-0.4,     ,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.3,0.2,,,,-0.7,       
149,MUSCLE,Pelvic Girdle & Hip Region,Right,Rectus Femoris,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,-0.3,,,-0.2,-0.15,-0.55,,-0.1,,,,,,,,,,-0.35,-0.7,,,-0.6,,-0.3,,-0.3,,-0.3,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.3,-0.2,,,,,-0.7
150,MUSCLE,Pelvic Girdle & Hip Region,Left,Tensor Fasciae Latae,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,-0.35,,,-0.4,,-0.3,-0.4,,-0.1,,,-0.45,0.6,,,,,,-0.25,-0.4,-0.6,,0.6,,,0.3,,,0.3,,,0.4,0.06,,0.06,,0.06,,,,,,,,,0.05,,,,,,,,,,,0.5,,0.3,,,,0.3,0.3,,,,-0.7,       
151,MUSCLE,Pelvic Girdle & Hip Region,Right,Tensor Fasciae Latae,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,-0.4,,,-0.3,,-0.4,,-0.1,,-0.45,,0.6,,,,,-0.25,-0.4,-0.6,,,0.6,,0.3,,0.3,,0.3,,0.4,,0.06,,0.06,,0.06,,,,,,,,,,0.05,,,,,,,,,,0.5,,0.3,,,-0.3,-0.3,,,,,-0.7
152,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Maximus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,0.4,,,0.4,,0.3,-0.35,,-0.2,,,-0.3,-0.7,,,,,,0.2,,-0.7,,,,,,,,,,,                             ,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,,0.4,0.3,,,,0.7,      
153,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Maximus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,0.4,,0.4,,0.3,,-0.35,,-0.2,,-0.3,,-0.7,,,,,0.2,-0.7,,,,,,,,,,,,                             ,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,-0.4,-0.3,,,,,0.7
154,MUSCLE,Pelvic Girdle & Hip Region,Left,Biceps Femoris,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,0.1,,0.1,,0.08,0.55,0.2,0.15,,,0.45,,,,,,,,,,,0.6,,,0.3,,,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,,0.4,0.3,,,,,               
155,MUSCLE,Pelvic Girdle & Hip Region,Right,Biceps Femoris,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,0.1,,0.1,,0.08,,0.2,0.55,,0.15,,0.45,,,,,,,,,,,,0.6,,0.3,,0.3,,0.3,,              ,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,-0.4,-0.3,,,,, 
156,MUSCLE,Pelvic Girdle & Hip Region,Left,Semitendinosus,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,0.1,,0.1,,0.08,0.4,0.15,0.1,,,0.35,,,,,,,,,,,-0.6,,-0.3,,-0.3,,-0.3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,,0.4,0.3,,,,, 
157,MUSCLE,Pelvic Girdle & Hip Region,Right,Semitendinosus,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,0.1,,0.1,,0.08,,0.15,0.4,,0.1,,0.35,,,,,,,,,,,,-0.6,,-0.3,,-0.3,,-0.3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,-0.4,-0.3,,,,, 
158,MUSCLE,Pelvic Girdle & Hip Region,Left,Semimembranosus,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,0.1,,0.1,,0.08,0.4,0.1,0.1,,,0.35,,,,,,,,,,,-0.6,,-0.3,,-0.3,,-0.3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,,0.4,0.3,,,,, 
159,MUSCLE,Pelvic Girdle & Hip Region,Right,Semimembranosus,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,0.1,,0.1,,0.08,,0.1,0.4,,0.1,,0.35,,,,,,,,,,,,-0.6,,-0.3,,-0.3,,-0.3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,,-0.4,-0.3,,,,, 
160,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Medius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,0.3,,,0.3,,0.25,0.4,0.1,0.1,,,0.35,0.4,,,,,,,,-0.4,,-0.3,,-0.3,,-0.2,,-0.2,,-0.3,,0.05,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,0.7,,0.4,,,,0.5,0.4,,,,0.7,       
161,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Medius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,0.3,,0.3,,0.25,0.1,0.4,,0.1,,0.35,,0.4,,,,,,,-0.4,,,-0.3,,-0.3,,-0.2,,-0.2,,-0.3,,0.05,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,0.7,,0.4,,,-0.5,-0.4,,,,,0.7
162,MUSCLE,Pelvic Girdle & Hip Region,Left,Gluteus Minimus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,0.2,,,0.2,,0.15,-0.1,,-0.4,,,-0.2,0.4,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.3,,,,0.4,0.3,,,,0.7,         
163,MUSCLE,Pelvic Girdle & Hip Region,Right,Gluteus Minimus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,0.2,,0.2,,0.15,,-0.1,,,-0.4,,,0.4,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.3,,,-0.4,-0.3,,,,,0.7
164,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Longus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,0.1,,0.15,,0.1,-0.1,,-0.25,,,-0.15,0.3,,,,,,,,,,0.6,,,0.3,,,0.2,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.2,0.2,,,,, 
165,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Longus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,0.1,,0.15,,0.1,,,-0.1,,,-0.25,,,0.3,,,,,,,,,,0.6,,0.3,,0.2,,0.3,,            ,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.2,-0.2,,,,, 
166,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,0.1,,0.15,,0.1,0.05,,0.1,,,0.1,0.3,,,,,,,,,,0.5,,,0.2,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.2,0.2,,,,, 
167,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Brevis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,0.1,,0.15,,0.1,,,0.05,,,0.1,,,0.3,,,,,,,,,,0.5,,0.2,,0.2,,0.2,,              ,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.2,-0.2,,,,, 
168,MUSCLE,Pelvic Girdle & Hip Region,Left,Adductor Magnus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,0.1,,0.15,,0.1,0.05,,0.1,,,0.1,0.25,,,,,,,,,,0.5,,,0.2,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.2,0.2,,,,, 
169,MUSCLE,Pelvic Girdle & Hip Region,Right,Adductor Magnus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,0.1,,0.15,,0.1,,,0.05,,,0.1,,,0.25,,,,,,,,,,0.5,,0.2,,0.2,,0.2,,             ,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.2,-0.2,,,,, 
170,MUSCLE,Pelvic Girdle & Hip Region,Left,Pectineus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,,,,,,0.05,,0.1,,,0.1,0.3,,,,,,,,,,0.4,,,0.2,,,0.1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
171,MUSCLE,Pelvic Girdle & Hip Region,Right,Pectineus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,,,,,,0.05,,,0.1,,,0.3,,,,,,,,,,0.4,,0.2,,0.1,,0.2,,             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
172,MUSCLE,Pelvic Girdle & Hip Region,Left,Gracilis,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,0.1,,0.1,,0.08,-0.1,,-0.15,,,-0.1,0.3,,,,,,,,,,-0.4,,-0.2,,-0.2,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
173,MUSCLE,Pelvic Girdle & Hip Region,Right,Gracilis,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,0.1,,0.1,,0.08,,,-0.1,,-0.15,,-0.1,,,0.3,,,,,,,,,-0.4,,-0.2,,-0.2,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
174,MUSCLE,Pelvic Girdle & Hip Region,Left,Piriformis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,,,,,,0.1,,0.05,,,0.05,-0.7,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
175,MUSCLE,Pelvic Girdle & Hip Region,Right,Piriformis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,,,,,,0.1,,,0.05,,,-0.7,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
176,MUSCLE,Pelvic Girdle & Hip Region,Left,Obturator Internus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,,,,,,-0.15,,-0.1,,,-0.15,-0.7,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
177,MUSCLE,Pelvic Girdle & Hip Region,Right,Obturator Internus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,,,,,,-0.15,,-0.1,,-0.15,,-0.7,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
178,MUSCLE,Pelvic Girdle & Hip Region,Left,Obturator Externus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,,,,,,-0.1,,-0.1,,,-0.1,-0.7,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
179,MUSCLE,Pelvic Girdle & Hip Region,Right,Obturator Externus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,,,,,,-0.1,,-0.1,,-0.1,,-0.7,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
180,MUSCLE,Pelvic Girdle & Hip Region,Left,Gemelli (Superior/Inferior),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,,,,,,-0.1,,-0.1,,,-0.1,-0.6,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
181,MUSCLE,Pelvic Girdle & Hip Region,Right,Gemelli (Superior/Inferior),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,,,,,,-0.1,,-0.1,,-0.1,,-0.6,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
182,MUSCLE,Pelvic Girdle & Hip Region,Left,Quadratus Femoris,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,-0.2,,,,,,,-0.1,,-0.1,,,-0.1,-0.6,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
183,MUSCLE,Pelvic Girdle & Hip Region,Right,Quadratus Femoris,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.1,,-0.1,,-0.6,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
184,FASCIA,Pelvic Girdle & Hip Region,Left,Iliotibial Band,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.1,,,-0.1,,,,,,,,,,,0.6,,,0.3,,,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
185,FASCIA,Pelvic Girdle & Hip Region,Right,Iliotibial Band,[Thigh (Knee) Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.1,,-0.1,,,,,,,,,,,,0.6,,0.3,,0.3,,0.3,,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
186,FASCIA,Pelvic Girdle & Hip Region,Center,Pelvic Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
187,FASCIA,Pelvic Girdle & Hip Region,Left,Inguinal Ligament,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
188,FASCIA,Pelvic Girdle & Hip Region,Right,Inguinal Ligament,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
189,MUSCLE,Thigh (Knee) Region,Left,Vastus Lateralis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,-0.04,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.3,,,0.3,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.4,0.3,,,,, 
190,MUSCLE,Thigh (Knee) Region,Right,Vastus Lateralis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.3,,0.3,,0.4,,          ,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.4,-0.3,,,,, 
191,MUSCLE,Thigh (Knee) Region,Left,Vastus Medialis (VMO),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,-0.04,,,,,,,,,,,,,,,,,,,,,,,-0.6,,-0.3,,-0.3,,-0.3,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.4,0.3,,,,, 
192,MUSCLE,Thigh (Knee) Region,Right,Vastus Medialis (VMO),[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,-0.3,,-0.3,,-0.3,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.4,-0.3,,,,, 
193,MUSCLE,Thigh (Knee) Region,Left,Vastus Intermedius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,-0.04,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.1,,,0.1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,,0.4,0.3,,,,, 
194,MUSCLE,Thigh (Knee) Region,Right,Vastus Intermedius,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,,0.1,,0.2,,             ,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.2,,,-0.4,-0.3,,,,, 
